Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/17/21,10,5,QURU,4,S,0,24.9,35.1,6.5
2020,5/17/21,10,5,QURU,5,U,0,27.9,31.1,5.5
2020,5/17/21,10,5,QURU,6,U,1,27,37.8,4.6
2020,5/17/21,10,5,QURU,7,S,0,27.2,24.8,4.1
2020,5/17/21,10,5,QURU,8,U,0,28.8,39,5.8
2020,5/17/21,10,5,QURU,9,U,0,35.1,36.2,4.7
2020,5/17/21,10,5,QURU,10,U,0,29.7,34.4,3.9
2020,5/17/21,10,5,QURU,11,U,0,28,31.4,4.7
2020,5/17/21,10,5,QURU,12,U,1,33.8,39.8,4.3
2020,5/17/21,10,5,QURU,13,S,0,34.8,42,5.5
2020,5/17/21,10,5,QURU,14,U,1,24.8,34.9,4.1
2020,5/17/21,10,5,QURU,15,S,0,30.2,34.8,3.5
2020,5/17/21,10,5,QURU,16,U,0,23.1,39.3,7.4
2020,5/17/21,10,5,QURU,17,U,1,27.5,29.1,4.3
2020,5/17/21,10,5,QURU,18,U,1,25.6,36.1,3.6
2020,5/17/21,10,5,QURU,19,U,0,25.3,37.6,5.2
2020,5/17/21,10,5,QURU,20,U,1,31.8,36.8,4.5
2020,5/17/21,10,5,TIAM,1,U,1,31.5,29.3,6.2
2020,5/17/21,10,5,TIAM,2,U,1,23.9,30.2,4.2
2020,5/17/21,10,5,TIAM,3,U,2,24.2,35.4,5.5
2020,5/17/21,10,5,TIAM,4,U,1,18.4,23,2.7
2020,5/17/21,10,5,TIAM,5,S,0,35.9,27,3.5
2020,5/17/21,10,5,TIAM,6,U,0,22,29,5.8
2020,5/17/21,10,5,TIAM,7,U,1,40,18.1,2.6
2020,5/17/21,10,5,TIAM,8,U,0,32.3,17.9,4.8
2020,5/17/21,10,5,TIAM,9,S,0,34.3,21.2,4.3
2020,5/17/21,10,5,TIAM,10,S,0,31.1,20.8,3.3
2020,5/17/21,10,5,TIAM,11,U,0,23.2,13.9,4.3
2020,5/17/21,10,5,TIAM,12,U,0,31.6,16.6,2.2
2020,5/17/21,10,5,TIAM,13,U,0,38,15.3,2.1
2020,5/17/21,10,5,TIAM,14,U,0,18.5,27.6,4.1
2020,5/17/21,10,5,TIAM,15,U,0,30.7,32,4.7
2020,5/17/21,10,5,TIAM,16,U,0,28.3,22,3.9
2020,5/17/21,10,5,TIAM,17,U,0,23.5,31.5,3.8
2020,5/17/21,10,5,TIAM,18,U,0,28.3,27.9,4
2020,5/17/21,10,5,TIAM,19,U,0,25.3,35,4.4
2020,5/17/21,10,5,TIAM,20,U,0,21.8,33.7,5
2020,5/14/21,8,1,ACRU,1,U,0,26.6,31.9,5.3
2020,5/14/21,8,1,ACRU,2,U,0,12.5,31.5,3.7
2020,5/14/21,8,1,ACRU,3,U,1,18.7,30.2,9.9
2020,5/14/21,8,1,ACRU,4,U,1,18.5,29,4.6
2020,5/14/21,8,1,ACRU,5,S,0,11.5,28,5.3
2020,5/14/21,8,1,ACRU,6,S,0,23.5,26.5,3.9
2020,5/14/21,8,1,ACRU,7,S,0,12.9,26.7,4.1
2020,5/14/21,8,1,ACRU,8,S,0,23.9,25,4.5
2020,5/14/21,8,1,ACRU,9,S,0,18,25.3,3.3
2020,5/14/21,8,1,ACRU,10,S,0,20,26.6,4.1
2020,5/14/21,8,1,ACRU,11,S,3,10.3,26.3,4.9
2020,5/14/21,8,1,ACRU,12,S,0,11.2,30.3,3.7
2020,5/14/21,8,1,ACRU,13,S,0,22.6,24.8,4.7
2020,5/14/21,8,1,ACRU,14,S,0,13.5,26.3,4.1
2020,5/14/21,8,1,ACRU,15,S,1,13.9,22.1,3.1
2020,5/14/21,8,1,ACRU,16,S,1,25.5,22,2.8
2020,5/14/21,8,1,ACRU,17,S,2,21.2,32.6,4.2
2020,5/14/21,8,1,ACRU,18,S,2,19.9,22.9,2.1
2020,5/14/21,8,1,ACRU,19,U,0,26,23.9,2.5
2020,5/14/21,8,1,ACRU,20,S,1,19.2,28,5.3
2020,5/14/21,8,1,ACSA,1,S,0,16.7,31.3,3.9
2020,5/14/21,8,1,ACSA,2,S,3,31.5,43.7,4.5
2020,5/14/21,8,1,ACSA,3,S,0,14.1,29.8,3.3
2020,5/14/21,8,1,ACSA,4,S,0,10.9,29.2,2.9
2020,5/14/21,8,1,ACSA,5,S,0,19.1,36,4.4
